,Client Birthdate,Client Monthly Income,Loan Start Date,Loan Due Date,Loan Amount,Loan Purpose,Client IBAN,Client Status,Paid in time
955,1/1/1900,2933.58,19/12/2014,19/5/2016,1000,retraining,DE4289541308918177,male : divorced/separated,YES
956,3/12/1946,2563.8,3/8/2017,2/11/2018,1000,retraining,FR5404226088731013,female : single,YES
957,24/7/1970,2601.97,30/7/2016,29/1/2018,500,business,DE9434506188069601,male : divorced/separated,YES
958,1/5/1972,3672.06,23/3/2014,21/9/2014,3000,furniture/equipment,DE959619907440086,male : single,YES
959,18/3/1971,3037.51,1/4/2017,1/3/2019,1500,repairs,DE5906497057840678,male : married/widowed,YES
960,26/11/1958,3172.37,10/1/2013,11/12/2013,10000,car (new),CH5194406318603814,male : single,YES
961,1/6/1968,None,25/2/2017,27/5/2017,8000,None,FR1300304828692706,female : single,YES
962,11/1/1967,2512.86,19/4/2014,19/4/2014,2000,others,ES2270883195536885,male : married/widowed,YES
963,1/1/1900,2590.25,15/2/2013,15/11/2014,1500,car (used),DE3079730562875620,male : divorced/separated,YES
964,9/6/1940,2986.48,23/9/2013,24/8/2014,4000,vacation,BE7655240523194374,female : divorced/separated/married,YES
965,12/3/1994,2634.34,27/8/2014,26/9/2014,10000,radio/television,FR3289373874187333,male : single,YES
966,14/4/1960,1409.18,8/7/2013,9/3/2014,1500,radio/television,DE6144000494503479,female : single,YES
967,17/3/1969,4123.7,11/4/2014,10/12/2014,6000,furniture/equipment,CH7182130964421769,None,None
968,22/6/1942,1621.28,26/1/2015,25/9/2016,8000,vacation,DE7866095298795821,None,YES
969,8/10/1982,4155.21,1/6/2016,1/10/2017,4000,others,DE3309729987718883,male : single,YES
970,13/5/1973,3315.14,4/3/2016,1/2/2018,2000,repairs,CH4761625605701424,female : divorced/separated/married,YES
971,28/10/1963,5911.19,6/11/2017,6/9/2019,10000,vacation,DE8061388765943117,female : divorced/separated/married,YES
972,23/3/1961,2511.79,9/7/2013,8/6/2014,5000,car (new),ES8732602759170646,male : married/widowed,YES
973,1/1/1900,4409.1,16/12/2016,16/6/2018,1500,None,FR3361923314602754,male : married/widowed,YES
974,7/2/1948,2748.63,20/9/2015,20/12/2015,2000,others,FR822697440846245,male : married/widowed,YES
975,15/10/1956,4994.86,11/12/2016,12/4/2018,10000,car (new),DE696570614340384,female : single,YES
976,7/8/1980,1935.22,15/2/2014,15/2/2014,8000,furniture/equipment,CH8368682683464996,male : divorced/separated,YES
977,29/8/1983,2095.08,19/3/2016,18/4/2016,3000,repairs,DE1229915372631358,female : single,YES
978,28/11/1957,4001.75,20/3/2016,19/9/2016,8000,vacation,FR8338328726371420,male : single,YES
979,19/4/1997,613.65,19/1/2017,20/12/2018,1500,retraining,CH9340016394470033,female : single,YES
980,27/3/1978,1746.91,25/4/2015,25/5/2016,8000,radio/television,CH8896908073399873,male : single,YES
981,7/3/1947,2024.48,22/12/2015,21/1/2017,10000,car (new),BE5544901833558881,male : divorced/separated,YES
982,16/10/1952,None,27/1/2014,28/4/2014,8000,retraining,BE2150818343713141,female : single,YES
983,6/1/1991,3247.71,27/2/2017,29/5/2018,5000,car (used),CH7886473191912845,female : single,YES
984,14/9/1951,4246.24,14/1/2013,14/11/2013,4000,business,DE802255050247591,male : single,YES
985,15/5/1989,4896.3,29/12/2017,30/3/2018,3000,others,CH3462879717270021,male : married/widowed,YES
986,30/7/1994,2751.37,7/10/2017,6/12/2017,3000,domestic appliances,DE4562132138375967,None,YES
987,22/1/1950,None,9/9/2015,8/9/2017,500,education,DE4876826493446081,male : divorced/separated,YES
988,26/12/1994,698.06,5/5/2017,3/2/2018,6000,car (new),CH1933327417129554,male : divorced/separated,YES
989,18/11/1960,2406.61,18/2/2016,18/8/2016,5000,retraining,CH2597012323016691,male : divorced/separated,YES
990,18/8/1943,3739.46,18/4/2017,19/3/2018,1000,business,FR5363163116203303,female : single,YES
991,9/1/1995,3401.79,17/11/2015,17/7/2017,4000,None,BE2811503687956932,male : single,YES
992,28/4/1981,2246.38,2/5/2013,31/1/2015,3000,education,BE7537288932105450,male : divorced/separated,YES
993,9/5/1981,2773.08,13/12/2014,8/10/2016,3000,repairs,FR9063410703944476,male : single,YES
994,11/6/1985,4021.77,4/1/2016,4/1/2016,1000,radio/television,CH5273812464592059,female : single,YES
995,16/12/1986,1718.34,28/3/2017,27/7/2018,5000,car (new),CH1030993839964288,male : divorced/separated,YES
996,21/4/1991,2966.86,3/1/2016,2/1/2017,1500,retraining,DE6181451052636556,None,YES
997,3/2/1965,2921.81,16/3/2016,14/11/2017,5000,business,CH2118338398308924,male : single,YES
998,25/3/1999,None,23/1/2016,23/1/2016,1500,repairs,CH9692666276777875,male : married/widowed,YES
999,20/5/1940,1937.98,21/4/2017,20/1/2019,1500,car (new),ES7808597478607258,male : married/widowed,YES
1000,14/11/1969,4052.55,30/4/2017,30/6/2017,1000,vacation,CH8641072089450825,male : married/widowed,YES
1001,1/1/1900,3254.75,30/3/2014,30/3/2014,2000,vacation,DE2625768647435385,male : divorced/separated,YES
1002,1/3/1968,2547.53,3/11/2016,4/9/2017,4000,furniture/equipment,CH1484649422353172,male : married/widowed,YES
1003,16/5/1953,4555.35,21/9/2013,21/1/2015,8000,car (new),FR3844526503195187,male : married/widowed,YES
1004,22/8/1951,1496.49,11/10/2015,8/2/2017,8000,repairs,BE5858685356629698,female : divorced/separated/married,YES
1005,5/4/1976,4538.71,28/7/2015,27/7/2017,4000,radio/television,DE8973425679738237,male : divorced/separated,NO
1006,8/9/1970,3115.62,15/2/2015,15/1/2016,4000,repairs,CH9232916899381809,male : married/widowed,YES
1007,25/10/1978,6028.35,10/8/2013,11/7/2015,10000,radio/television,DE6120800245772599,female : single,YES
1008,13/4/1955,2987.47,24/11/2017,24/1/2018,2000,others,CH994085169523227,None,YES
1009,28/10/1993,2586.16,27/8/2014,25/2/2015,5000,business,DE1715815433065436,male : single,YES
1010,2/5/1965,1647.55,29/9/2015,29/4/2017,1000,retraining,DE8851643162921273,female : divorced/separated/married,YES
1011,6/10/1950,3276.35,24/2/2016,25/8/2017,500,others,ES4235175390754633,None,YES
1012,3/5/1979,1808.76,23/7/2016,23/3/2017,1000,education,FR1010164730582687,None,NO
1013,16/1/1966,1458.0,5/10/2015,3/9/2017,1500,radio/television,BE9327027966028808,male : married/widowed,NO
1014,17/2/1947,4681.15,3/8/2015,1/1/2017,6000,car (new),DE1832760104379753,male : single,YES
1015,12/2/1980,None,30/10/2016,1/5/2017,3000,car (new),CH2205025969019450,male : single,YES
1016,30/1/1956,10263.42,2/3/2015,1/10/2015,3000,education,BE9598617340327081,female : divorced/separated/married,YES
1017,9/5/1940,None,22/7/2016,12/2/2016,3000,car (new),CH6736743785740713,None,YES
1018,18/11/1990,3315.73,6/5/2016,6/5/2018,2000,repairs,BE7038165934280404,female : single,YES
1019,22/1/1969,None,1/12/2017,2/7/2019,3000,retraining,ES1373082042841303,female : single,NO
1020,1/11/1965,2645.98,8/10/2016,9/7/2018,8000,car (new),DE6572087189378261,None,YES
1021,4/10/1992,6020.85,23/2/2013,24/8/2014,5000,vacation,BE7862995287883696,male : married/widowed,YES
1022,26/8/1982,None,30/1/2013,1/7/2014,1500,car (new),DE7163040722114677,male : divorced/separated,YES
1023,21/3/1973,1882.49,21/12/2017,22/5/2018,4000,car (new),DE8243474791086585,female : divorced/separated/married,YES
1024,23/3/1968,2628.08,30/12/2013,1/6/2015,10000,retraining,ES2719785405749551,male : divorced/separated,YES
1025,24/3/1971,1829.29,26/8/2016,25/11/2016,3000,others,DE107880715877294,male : married/widowed,YES
1026,7/7/1999,4405.22,15/4/2014,15/5/2015,1000,others,BE1198254972794152,male : married/widowed,YES
1027,3/7/1940,4450.64,9/7/2013,7/11/2013,2000,retraining,DE520168989834654,male : married/widowed,YES
1028,12/6/1975,3853.92,3/6/2015,2/6/2016,6000,car (new),FR5172242334909667,male : single,YES
1029,3/11/1991,1702.49,18/10/2015,16/11/2016,2000,education,ES4214075491376970,female : divorced/separated/married,YES
1030,21/11/1985,1757.89,1/2/2014,2/9/2014,1000,car (used),ES9911672607790565,male : divorced/separated,YES
1031,12/10/1991,544.35,26/11/2014,26/11/2015,2000,repairs,FR9896471601673668,None,YES
1032,18/12/1959,2759.12,12/10/2017,12/9/2018,4000,domestic appliances,DE9645805510647373,male : single,YES
1033,25/5/1945,4721.62,4/6/2017,4/11/2018,6000,car (new),FR465664233907865,female : divorced/separated/married,YES
1034,12/6/1969,5029.33,24/7/2013,25/5/2015,5000,others,BE1622057438360396,female : single,YES
1035,29/3/1983,None,26/2/2014,29/7/2015,500,repairs,FR6703918313728567,male : married/widowed,YES
1036,1/7/1967,3202.72,11/8/2015,9/12/2016,6000,domestic appliances,CH1131763243144726,male : married/widowed,YES
1037,30/7/1978,14373.01,8/6/2015,8/6/2015,4000,retraining,FR5164080188350051,male : married/widowed,YES
1038,26/5/1989,3331.83,20/4/2016,18/1/2017,1500,education,DE3021168285285300,male : divorced/separated,YES
1039,25/4/1984,3270.08,7/10/2013,7/12/2014,3000,car (new),FR6299633890915501,female : divorced/separated/married,YES
1040,20/11/1948,6109.24,3/8/2013,4/4/2015,500,None,CH2473964057551258,male : divorced/separated,YES
1041,16/9/1960,1910.7,9/5/2014,9/8/2015,5000,domestic appliances,DE7131293552555917,female : single,YES
1042,11/1/1965,None,29/1/2014,30/5/2014,500,retraining,BE2540963632721923,male : single,YES
1043,16/9/1969,2318.25,21/5/2015,19/1/2016,10000,others,CH2855497670743177,male : single,NO
1044,31/5/1974,3169.87,19/12/2013,20/10/2014,10000,education,DE7584616974424616,male : divorced/separated,YES
1045,6/12/1985,2667.8,21/11/2017,22/4/2018,3000,retraining,DE9784576186538495,male : divorced/separated,YES
1046,15/10/1985,2907.83,20/9/2015,20/9/2015,1500,others,ES5004020097307544,female : divorced/separated/married,YES
1047,3/3/1954,1654.45,16/8/2017,16/9/2018,6000,car (used),BE1004217587982223,male : single,YES
1048,4/2/1960,None,31/7/2015,29/1/2017,8000,radio/television,FR6873797688877161,male : married/widowed,NO
1049,13/2/1957,3402.81,11/4/2015,11/5/2016,5000,car (new),FR3205279648844393,male : married/widowed,NO
1050,17/9/1945,2232.36,14/5/2015,13/5/2016,5000,others,ES3749441801957114,male : married/widowed,YES
1051,6/2/1987,2764.46,23/11/2016,23/1/2018,6000,domestic appliances,ES3993720233000181,male : married/widowed,YES
1052,9/2/1979,3704.11,8/3/2016,8/3/2018,8000,retraining,ES7518175674594937,male : married/widowed,YES
1053,11/10/1960,None,18/6/2013,17/12/2013,5000,retraining,FR6398159643922778,female : divorced/separated/married,YES
1054,17/3/1974,1797.94,18/4/2014,18/7/2014,500,retraining,BE6547568831150840,male : divorced/separated,YES
1055,19/7/1998,1676.85,24/12/2015,23/6/2016,3000,domestic appliances,DE8901089145227469,None,NO
1056,10/1/1997,4268.39,5/1/2013,7/3/2014,500,retraining,CH436336408060324,female : divorced/separated/married,YES
1057,1/9/1968,3414.6,29/7/2013,29/5/2015,1500,others,FR1488017948419561,male : married/widowed,YES
1058,10/3/1952,None,20/7/2013,19/12/2014,6000,retraining,DE5355027563730153,female : divorced/separated/married,YES
1059,11/11/1977,1449.45,8/9/2014,8/6/2016,2000,others,DE6138457367226539,male : single,YES
1060,12/9/1963,1524.3,28/9/2014,28/9/2015,2000,car (new),DE8245370323439522,None,YES
1061,29/1/1950,3981.31,13/10/2014,29/5/2017,500,car (new),FR297180099737051,None,YES
1062,31/3/1948,None,31/5/2016,30/9/2017,500,others,CH9575645561328473,female : divorced/separated/married,YES
1063,16/8/1958,2244.54,17/8/2016,17/12/2016,8000,repairs,DE7517741952718427,female : divorced/separated/married,YES
1064,12/6/1959,5357.11,10/9/2016,10/8/2018,4000,retraining,ES1904292101093179,female : single,YES
1065,26/3/1957,4128.97,15/6/2016,7/10/2013,2000,others,DE9965320037628648,male : divorced/separated,YES
1066,31/3/1989,None,7/3/2014,7/4/2014,1000,repairs,BE5155194345505735,female : single,YES
1067,29/9/1959,2996.15,7/6/2013,6/1/2014,1500,education,CH4620030632632367,male : married/widowed,YES
1068,4/1/1986,2907.21,2/2/2015,15/5/2013,10000,car (new),DE3624248402530768,female : divorced/separated/married,YES
1069,18/12/1951,None,17/6/2015,16/10/2015,6000,car (new),CH6322150694258278,male : married/widowed,YES
1070,1/4/1941,2846.11,15/5/2017,13/12/2018,10000,furniture/equipment,CH9283795557795904,male : single,YES
1071,19/11/1977,1680.61,6/8/2014,6/12/2015,10000,retraining,DE8566416029909059,None,YES
1072,22/11/1967,2574.61,28/2/2013,28/2/2015,6000,retraining,DE452737339972795,male : married/widowed,YES
1073,6/12/1949,2322.26,23/8/2017,24/3/2018,4000,others,FR7002076598901991,female : divorced/separated/married,YES
1074,5/2/1975,4720.0,3/6/2017,20/2/2013,500,car (used),CH6270184180397645,female : divorced/separated/married,YES
1075,11/6/1997,3350.0,28/9/2014,28/1/2016,10000,education,DE6747732953790554,None,YES
1076,27/12/1958,2385.62,9/11/2017,9/10/2019,8000,education,BE8380241225923811,male : single,YES
1077,1/1/1900,2260.91,27/6/2013,27/4/2015,4000,repairs,DE432318551375256,None,YES
1078,27/5/1994,4567.86,28/10/2017,28/10/2017,6000,car (new),FR8247883331948722,male : single,YES
1079,4/11/1952,3939.61,22/11/2016,22/11/2017,1000,domestic appliances,DE1699520020402422,None,YES
1080,16/3/1974,3304.15,17/6/2016,16/9/2017,1500,furniture/equipment,DE4270462475094930,female : single,YES
1081,2/12/1955,4417.42,26/1/2016,25/9/2016,5000,repairs,ES4825999217776574,male : single,YES
1082,30/11/1985,4685.22,5/12/2017,6/7/2018,1000,radio/television,ES3134214349531383,male : divorced/separated,YES
1083,5/12/1999,3806.43,22/1/2013,23/8/2014,3000,car (new),DE1353633083348784,male : married/widowed,YES
1084,9/2/1942,2527.95,1/4/2013,1/6/2013,1500,vacation,DE8176378178026544,male : divorced/separated,YES
1085,12/6/1988,3059.3,9/1/2013,10/10/2014,500,furniture/equipment,FR6190715674275488,male : married/widowed,YES
1086,8/12/1961,5134.57,31/3/2017,31/3/2018,3000,others,ES6100629568488365,male : divorced/separated,YES
1087,1/6/1962,3768.73,30/5/2016,29/9/2017,2000,business,CH1120991770951600,None,YES
1088,23/6/1979,428.03,9/9/2016,10/4/2018,500,radio/television,ES9102675591779603,male : married/widowed,NO
1089,19/6/1968,2608.57,10/3/2015,8/8/2016,6000,others,DE2698984427973462,male : divorced/separated,YES
1090,3/10/1994,3965.22,12/8/2016,19/10/2017,8000,furniture/equipment,FR3189279183584512,male : single,YES
1091,7/8/1997,3450.59,16/2/2014,18/4/2014,4000,furniture/equipment,CH4044659610740837,male : divorced/separated,YES
1092,22/1/1953,4903.68,13/3/2014,13/7/2014,6000,others,DE2036411071468655,male : married/widowed,YES
1093,25/5/1969,5485.51,27/8/2015,19/8/2016,8000,repairs,DE9888015295772212,male : married/widowed,YES
1094,7/11/1971,-3937.62,13/1/2017,14/7/2018,10000,busines,FR6230178139410932,male : single,YES
1095,10/9/1969,4149.25,15/9/2016,16/5/2018,1500,radio/television,DE9491489081102951,male : divorced/separated,YES
1096,8/1/1952,3285.09,1/7/2017,1/7/2019,8000,repairs,DE5683722535820262,None,YES
1097,15/3/1957,2861.26,18/2/2017,18/2/2017,1000,domestic appliances,FR335743514887889,male : single,NO
1098,28/9/1996,1874.57,14/2/2015,15/3/2016,1000,retraining,DE2914382619384633,male : divorced/separated,YES
1099,6/9/1988,3645.39,21/1/2013,21/9/2014,1000,business,DE3654779232711493,female : divorced/separated/married,YES
1100,14/3/1999,1684.1,24/3/2016,23/8/2017,1000,education,BE7930464069547702,male : married/widowed,YES
1101,16/2/1993,2656.02,17/12/2015,15/2/2017,1500,car (new),ES2816758779203673,male : single,YES
1102,14/1/1963,3016.47,19/6/2014,19/8/2015,4000,education,FR6033829007090961,male : divorced/separated,YES
1103,25/6/1996,2716.87,27/7/2014,27/8/2015,3000,retraining,DE1812347107219837,female : divorced/separated/married,YES
1104,22/9/1941,3826.01,23/6/2015,22/1/2016,2000,car (used),CH8371262472542256,female : single,YES
1105,3/9/1965,4030.53,23/1/2014,7/3/2015,2000,retraining,DE1186912801630825,female : single,YES
1106,1/6/1942,None,27/4/2017,26/12/2018,6000,car (new),BE8083320035286655,None,YES
1107,28/7/1956,2042.24,12/5/2015,11/12/2015,2000,retraining,FR1196624081826070,male : single,YES
1108,23/8/1946,3204.46,21/10/2014,20/8/2016,3000,None,ES385820744903637,male : married/widowed,YES
1109,18/6/1969,None,24/2/2013,25/11/2014,5000,car (used),DE9438135604532453,female : divorced/separated/married,YES
1110,26/8/1970,4651.35,25/3/2014,23/1/2015,4000,None,DE9524454426649609,None,YES
1111,13/3/1989,3176.03,13/8/2016,13/2/2014,1500,retraining,BE3288348521029224,female : single,YES
1112,27/10/1944,3041.07,28/3/2013,28/3/2015,3000,others,BE3699908759636519,male : divorced/separated,YES
1113,20/9/1969,None,6/8/2016,6/4/2017,8000,business,DE7472796851647148,female : single,YES
1114,5/3/1954,2733.95,13/2/2014,15/4/2015,5000,others,FR8914280945443532,female : single,YES
1115,26/11/1951,1459.51,23/12/2013,23/12/2015,4000,business,ES558314752804522,female : single,YES
1116,10/4/1953,3596.93,9/7/2015,7/10/2016,6000,car (new),DE2147320675432961,female : single,YES
1117,20/9/1969,10722.76,1/8/2016,30/11/2017,1000,None,DE2232387583898967,female : divorced/separated/married,YES
1118,3/2/1945,27509.1,1/5/2015,8/10/2015,500,radio/television,CH5954919829544233,None,NO
1119,14/3/1947,2258.79,31/10/2014,30/11/2014,2000,radio/television,ES5668963121075373,male : divorced/separated,NO
1120,28/4/1963,3311.28,26/4/2017,26/6/2017,6000,business,DE3909569112316888,male : divorced/separated,YES
1121,14/6/1981,4324.76,12/4/2015,23/1/2016,4000,car (new),DE7358274052640986,male : single,YES
1122,27/9/1970,3779.65,29/12/2016,30/3/2018,2000,education,DE6724847988945481,male : divorced/separated,YES
1123,31/5/1967,3146.48,7/3/2017,4/2/2019,1000,others,FR6342271162972263,female : divorced/separated/married,YES
1124,1/4/1967,4042.78,7/12/2015,6/10/2017,10000,car (new),CH9022735822094102,male : single,YES
1125,20/4/1975,2387.27,21/12/2017,21/11/2018,1000,retraining,CH494684939997027,female : single,YES
1126,31/12/1991,2480.14,27/12/2014,27/7/2016,5000,radio/television,CH6305750364194257,male : married/widowed,YES
1127,13/7/1948,2564.91,29/9/2016,29/9/2016,8000,car (new),CH6924649894447380,male : married/widowed,YES
1128,17/3/1974,2840.85,26/6/2016,26/10/2016,3000,vacation,BE6243853004974459,male : divorced/separated,YES
1129,15/5/1991,3481.15,2/2/2014,3/11/2014,8000,None,FR9032203796530132,male : divorced/separated,YES
1130,9/5/1977,2707.88,23/9/2013,24/12/2013,1500,furniture/equipment,DE4189881615821166,male : divorced/separated,YES
1131,24/7/1993,1394.13,3/4/2017,3/6/2018,6000,repairs,ES244351563903546,None,YES
1132,15/11/1957,3032.82,8/2/2014,10/7/2015,500,car (new),ES8546412861040346,None,YES
1133,3/9/1994,3311.12,8/3/2016,21/11/2017,4000,business,ES5018223498339858,female : single,YES
1134,17/10/1955,None,9/3/2013,7/2/2014,500,retraining,DE5233874704600654,male : married/widowed,YES
1135,9/10/1940,1529.19,4/12/2017,5/4/2019,6000,others,BE4162687291156615,male : divorced/separated,YES
1136,11/3/1966,4252.54,25/10/2017,24/1/2018,3000,car (used),FR9861241092526937,None,YES
1137,8/3/1951,1273.74,15/11/2016,16/7/2017,2000,radio/television,BE5959445269675944,None,YES
1138,17/9/1965,5536.38,22/2/2013,22/2/2015,3000,others,CH3515255358464065,male : divorced/separated,YES
1139,19/2/1998,2363.73,8/8/2015,6/9/2016,6000,vacation,DE2088159470977029,male : single,YES
1140,13/9/1978,2577.01,27/12/2014,28/3/2016,6000,others,FR8458578842531238,male : divorced/separated,YES
1141,25/11/1967,3318.77,25/3/2014,24/6/2014,500,radio/television,FR2693714074914620,female : single,YES
1142,1/1/1900,3531.62,8/1/2014,26/10/2013,6000,domestic appliances,DE8897112441615875,female : single,YES
1143,18/3/1949,3728.73,24/8/2013,24/10/2014,4000,car (used),BE5340025386048139,female : single,YES
1144,21/9/1998,1688.28,2/5/2016,23/6/2016,3000,education,DE7104401437213116,male : married/widowed,YES
1145,14/6/1953,2446.55,15/5/2013,15/8/2013,1000,repairs,FR7421867384695724,female : divorced/separated/married,YES
1146,17/10/1986,1657.0,18/10/2016,19/5/2017,3000,retraining,FR7154672906663989,male : single,YES
1147,19/8/1952,1950.38,25/3/2016,24/6/2016,3000,car (new),FR8343254853814896,male : divorced/separated,YES
1148,1/7/1999,None,20/5/2017,19/10/2017,10000,radio/television,DE9153057958993848,female : divorced/separated/married,YES
1149,24/8/1968,3447.15,24/2/2017,27/3/2017,1000,repairs,DE4230459585478471,male : single,YES
1150,24/10/1945,2865.53,25/1/2016,22/6/2015,2000,car (new),DE5081610948105776,None,YES
1151,25/5/1994,3114.56,24/8/2017,23/1/2019,6000,education,ES7744750549406844,male : single,YES
1152,15/9/1959,3558.72,7/6/2016,7/5/2018,1000,None,DE7832261281892795,female : single,NO
1153,1/1/1900,3431.41,25/12/2014,26/5/2015,10000,education,DE9068090073486391,female : divorced/separated/married,YES
1154,15/11/1948,2558.11,27/8/2017,26/9/2017,1000,repairs,BE2047016137434911,female : single,YES
1155,26/1/1942,2614.97,12/8/2013,12/10/2013,8000,business,ES7509179959577148,male : divorced/separated,YES
1156,25/3/1950,3518.61,22/7/2016,21/9/2017,10000,retraining,ES5915727056065105,female : single,YES
1157,25/4/1974,3880.92,16/7/2017,15/12/2018,3000,others,CH4257555140281593,male : single,YES
1158,18/5/1968,2974.9,29/3/2014,27/1/2016,6000,radio/television,DE2884579674330503,None,YES
1159,1/1/1900,3750.86,20/6/2015,18/1/2016,4000,None,ES8947958620644080,None,YES
1160,7/12/1987,3231.04,11/11/2013,13/5/2014,8000,car (used),FR9271416780767941,male : single,YES
1161,25/10/1969,None,30/7/2015,28/1/2017,10000,others,DE392324432151466,None,YES
1162,8/7/1989,2284.59,11/5/2016,11/7/2016,6000,retraining,ES9456733769802728,None,YES
1163,28/3/1972,None,12/4/2016,10/2/2018,1000,car (new),BE189005481163117,female : single,YES
1164,23/7/1977,3618.41,13/12/2014,14/8/2015,3000,repairs,FR2741057956797518,female : divorced/separated/married,YES
1165,23/1/1946,None,28/6/2016,28/10/2017,5000,retraining,ES1213864708157761,female : divorced/separated/married,YES
1166,20/2/1987,2830.19,3/4/2014,3/12/2014,2000,others,DE259286050703351,male : single,YES
1167,5/9/1952,3438.97,22/3/2015,21/3/2017,8000,others,BE3751649394051455,male : married/widowed,None
1168,23/1/1955,2512.42,8/3/2015,7/5/2016,2000,others,DE1641404016440771,female : divorced/separated/married,YES
1169,28/7/1991,3762.13,12/10/2015,12/3/2016,2000,business,FR8999331467790688,None,YES
1170,9/12/1983,4653.61,7/1/2013,9/5/2013,1500,car (new),CH5355280907887626,male : divorced/separated,YES
1171,15/11/1956,4692.31,21/2/2013,23/7/2014,6000,others,FR9989785236338217,male : divorced/separated,YES
1172,6/1/1965,2245.84,1/2/2013,2/8/2013,10000,vacation,BE5602961802133694,male : single,YES
1173,23/12/1989,4951.6,7/7/2016,5/2/2017,6000,retraining,CH3806035292974309,male : single,YES
1174,18/12/1976,4532.68,6/5/2015,5/6/2016,10000,retraining,DE3258352757135451,female : divorced/separated/married,YES
1175,12/7/1943,6708.98,15/12/2015,15/12/2015,8000,car (used),BE3035510853699943,female : single,YES
1176,15/2/1989,2259.65,29/10/2014,29/3/2016,3000,busines,DE940705848383428,male : married/widowed,YES
1177,28/4/1968,2388.02,21/6/2015,21/3/2017,1500,repairs,DE8023773409933244,female : divorced/separated/married,YES
1178,30/9/1984,2744.37,21/6/2015,20/10/2015,8000,retraining,FR1692874389745803,female : single,YES
1179,18/10/1985,1660.83,4/10/2013,4/4/2014,1000,retraining,DE6922249005748468,male : married/widowed,YES
1180,6/4/1960,1530.0,16/8/2016,15/1/2017,1500,car (used),BE960280237987546,male : married/widowed,YES
1181,31/1/1992,3850.12,25/5/2017,24/12/2018,3000,education,DE7312969292607839,female : single,YES
1182,10/4/1967,2218.84,27/11/2015,28/3/2017,8000,repairs,DE3936389966954509,male : married/widowed,YES
1183,18/5/1966,4238.76,24/4/2015,24/6/2015,500,others,DE9630758001599424,female : single,YES
1184,5/10/1986,3779.76,6/8/2015,4/11/2016,10000,radio/television,FR1295762645628300,male : married/widowed,YES
1185,9/1/1958,2689.74,27/1/2014,29/7/2015,5000,retraining,DE8391732388843096,None,YES
1186,14/2/1945,1515.26,26/10/2015,24/9/2016,2000,domestic appliances,ES7859123216535311,male : married/widowed,YES
1187,28/9/1971,681.78,14/5/2013,15/3/2015,8000,retraining,DE9394998179123297,male : divorced/separated,YES
1188,30/3/1993,None,25/12/2015,25/5/2017,10000,vacation,DE9714054314676402,female : single,YES
1189,1/1/1900,2215.56,7/7/2015,7/10/2015,1500,car (used),CH5643692415423047,female : single,YES
1190,29/5/1951,2497.78,1/1/2016,2/5/2016,4000,others,CH5962972352712338,female : divorced/separated/married,YES
1191,3/5/1978,1316.64,21/1/2014,21/8/2015,1000,business,CH4741537159040052,male : single,YES
1192,19/10/1941,675.56,24/5/2014,23/5/2016,10000,others,CH9797277702964781,female : divorced/separated/married,YES
1193,27/1/1949,1173.51,7/6/2013,9/5/2015,6000,others,FR3956188427267460,female : single,YES
1194,7/11/1946,None,9/8/2013,14/8/2015,8000,car (new),CH8396400566958661,female : divorced/separated/married,YES
1195,13/8/1954,1759.0,30/5/2015,29/9/2015,2000,education,DE1006225560879031,male : married/widowed,YES
1196,17/5/1953,3263.95,8/1/2017,9/8/2017,5000,others,ES3096740803301809,male : married/widowed,YES
1197,2/9/1986,2477.25,10/5/2016,8/2/2018,3000,others,DE4779787930325056,male : married/widowed,YES
1198,22/3/1974,2164.19,5/11/2015,5/7/2017,500,car (new),FR5458609795686219,None,YES
1199,19/2/1990,2643.99,3/11/2016,4/9/2018,500,busines,CH8636473916932394,None,YES
1200,20/3/1950,None,9/9/2014,9/10/2014,10000,furniture/equipment,CH721969749097311,male : married/widowed,YES
1201,10/3/1994,5240.59,16/9/2016,17/7/2017,1000,education,CH5353218619455912,None,NO
1202,26/12/1984,1900.82,18/1/2013,19/6/2013,500,repairs,FR7065947966329390,female : divorced/separated/married,YES
1203,19/2/1986,4201.23,10/11/2017,9/2/2019,5000,others,CH8854607542907823,female : divorced/separated/married,YES
1204,30/12/1990,3617.65,3/10/2014,4/3/2015,1000,others,BE9621377384677989,female : divorced/separated/married,YES
1205,23/5/1985,4871.27,19/4/2015,19/3/2017,500,retraining,CH4644599704621502,None,YES
1206,23/7/1952,2410.61,30/4/2013,30/5/2014,3000,retraining,DE9079297188442720,male : divorced/separated,YES
1207,19/5/1943,2913.93,22/12/2013,24/3/2015,6000,radio/television,CH5910765429246781,female : divorced/separated/married,YES
1208,12/6/1967,2135.83,4/10/2016,5/3/2018,4000,domestic appliances,ES2600108263567019,male : single,YES
1209,16/4/1962,3776.75,14/7/2015,14/8/2015,2000,car (new),DE113098346458479,female : divorced/separated/married,YES
1210,4/4/1940,2909.16,6/7/2014,6/8/2015,3000,education,DE1857193564018491,male : divorced/separated,YES
1211,17/2/1966,11017.52,20/10/2016,21/7/2018,5000,retraining,BE518627557610762,female : divorced/separated/married,YES
1212,2/10/1947,2551.59,31/10/2014,31/3/2016,500,car (new),ES5653360141672754,female : divorced/separated/married,YES
1213,13/4/1949,3555.62,4/6/2013,4/4/2014,500,others,DE4490305353897500,None,YES
1214,4/12/1985,3864.28,24/9/2014,23/9/2016,2000,radio/television,CH2209048118444052,male : divorced/separated,YES
